Closing_price,Highest_price,Last_Modified,Number_of_transactions,Opening_price,Securities_abbreviation,Securities_code,Transaction_date,currency,market,minimum_price,price_limit,trading_volume,ups_downs
12.21,12.3,"Sun, 06 Oct 2024 01:12:57 GMT",543028364,11.62,平安银行,000001-SZE,2024-09-30,CNY,SZE,11.56,6.9177,6467438837.7,0.79
9.72,9.72,"Sun, 06 Oct 2024 01:12:57 GMT",579726570,9.72,万  科Ａ,000002-SZE,2024-09-30,CNY,SZE,9.27,9.9548,5592761873.34,0.88
16.3,16.3,"Sun, 06 Oct 2024 01:12:57 GMT",40582365,14.94,国华网安,000004-SZE,2024-09-30,CNY,SZE,14.94,9.9865,636048463.43,1.48
5.59,5.6,"Sun, 06 Oct 2024 01:12:57 GMT",125642088,5.49,深振业Ａ,000006-SZE,2024-09-30,CNY,SZE,5.21,8.9669,684436800.2,0.46
6.77,6.77,"Sun, 06 Oct 2024 01:12:57 GMT",19452091,6.42,全新好,000007-SZE,2024-09-30,CNY,SZE,6.25,10.0813,128200050.26,0.62
2.41,2.43,"Sun, 06 Oct 2024 01:12:57 GMT",144702656,2.3,神州高铁,000008-SZE,2024-09-30,CNY,SZE,2.26,8.5586,340585432.87,0.19
9.61,9.61,"Sun, 06 Oct 2024 01:12:57 GMT",64738816,9.09,中国宝安,000009-SZE,2024-09-30,CNY,SZE,9.08,9.9542,614130982.6,0.87
2.18,2.18,"Sun, 06 Oct 2024 01:12:57 GMT",56565770,2.06,美丽生态,000010-SZE,2024-09-30,CNY,SZE,2.02,10.101,119940517.08,0.2
9.82,9.88,"Sun, 06 Oct 2024 01:12:57 GMT",32211311,9.6,深物业A,000011-SZE,2024-09-30,CNY,SZE,9.19,7.4398,308586780.52,0.68
5.78,5.83,"Sun, 06 Oct 2024 01:12:57 GMT",70806344,5.56,南  玻Ａ,000012-SZE,2024-09-30,CNY,SZE,5.5,7.4349,402725235.24,0.4
11.2,11.3,"Sun, 06 Oct 2024 01:12:57 GMT",32593781,11.0,沙河股份,000014-SZE,2024-09-30,CNY,SZE,10.48,6.7684,356534707.9,0.71
3.31,3.32,"Sun, 06 Oct 2024 01:12:57 GMT",122032513,3.11,深康佳Ａ,000016-SZE,2024-09-30,CNY,SZE,3.03,9.2409,391563473.2,0.28
6.63,6.68,"Sun, 06 Oct 2024 01:12:57 GMT",41767527,6.3,深中华A,000017-SZE,2024-09-30,CNY,SZE,6.12,8.5106,269103916.88,0.52
6.75,6.79,"Sun, 06 Oct 2024 01:12:57 GMT",25054893,6.45,深粮控股,000019-SZE,2024-09-30,CNY,SZE,6.34,7.1429,165343237.71,0.45
15.72,15.88,"Sun, 06 Oct 2024 01:12:57 GMT",22491888,14.86,深华发Ａ,000020-SZE,2024-09-30,CNY,SZE,14.2,8.1155,340333259.29,1.18
16.53,16.55,"Sun, 06 Oct 2024 01:12:57 GMT",106300522,15.7,深科技,000021-SZE,2024-09-30,CNY,SZE,15.4,9.8339,1708921065.95,1.48
16.86,17.0,"Sun, 06 Oct 2024 01:12:57 GMT",21871403,16.37,特  力Ａ,000025-SZE,2024-09-30,CNY,SZE,15.7,8.3548,361556099.55,1.3
10.43,10.57,"Sun, 06 Oct 2024 01:12:57 GMT",14149140,9.97,飞亚达,000026-SZE,2024-09-30,CNY,SZE,9.77,7.1942,144066506.99,0.7
6.99,6.99,"Sun, 06 Oct 2024 01:12:57 GMT",79594032,6.69,深圳能源,000027-SZE,2024-09-30,CNY,SZE,6.56,10.0787,544012490.02,0.64
31.63,31.91,"Sun, 06 Oct 2024 01:12:57 GMT",14295471,29.99,国药一致,000028-SZE,2024-09-30,CNY,SZE,29.46,9.0314,439579976.95,2.62
16.57,17.28,"Sun, 06 Oct 2024 01:12:57 GMT",56412824,16.5,深深房Ａ,000029-SZE,2024-09-30,CNY,SZE,15.31,5.4742,937841879.04,0.86
5.31,5.33,"Sun, 06 Oct 2024 01:12:57 GMT",26315203,5.1,富奥股份,000030-SZE,2024-09-30,CNY,SZE,5.02,8.8115,137353050.46,0.43
3.36,3.36,"Sun, 06 Oct 2024 01:12:57 GMT",73140811,3.25,大悦城,000031-SZE,2024-09-30,CNY,SZE,3.14,10.1639,240543437.68,0.31
17.31,17.31,"Sun, 06 Oct 2024 01:12:57 GMT",56727998,17.0,深桑达Ａ,000032-SZE,2024-09-30,CNY,SZE,16.12,9.9746,956510218.53,1.57
30.78,30.78,"Sun, 06 Oct 2024 01:12:57 GMT",55978481,29.38,神州数码,000034-SZE,2024-09-30,CNY,SZE,29.0,10.0071,1683567700.43,2.8
5.06,5.1,"Sun, 06 Oct 2024 01:12:57 GMT",58823710,4.82,中国天楹,000035-SZE,2024-09-30,CNY,SZE,4.82,8.5837,292301071.51,0.4
3.82,3.82,"Sun, 06 Oct 2024 01:12:57 GMT",40661610,3.62,华联控股,000036-SZE,2024-09-30,CNY,SZE,3.61,10.0865,151837225.58,0.35
8.74,8.84,"Sun, 06 Oct 2024 01:12:57 GMT",33166251,8.23,深南电A,000037-SZE,2024-09-30,CNY,SZE,8.1,7.2393,281066523.24,0.59
8.99,9.06,"Sun, 06 Oct 2024 01:12:57 GMT",68431834,8.65,中集集团,000039-SZE,2024-09-30,CNY,SZE,8.5,8.4439,604183548.74,0.7
1.32,1.32,"Sun, 06 Oct 2024 01:12:57 GMT",123451686,1.26,ST旭蓝,000040-SZE,2024-09-30,CNY,SZE,1.25,4.7619,158402062.42,0.06
5.23,5.28,"Sun, 06 Oct 2024 01:12:57 GMT",51499422,5.0,中洲控股,000042-SZE,2024-09-30,CNY,SZE,4.86,8.2816,262483717.23,0.4
9.55,9.58,"Sun, 06 Oct 2024 01:12:57 GMT",26899265,9.1,深纺织Ａ,000045-SZE,2024-09-30,CNY,SZE,8.87,8.3995,249211492.1,0.74
16.2,16.34,"Sun, 06 Oct 2024 01:12:57 GMT",10435726,15.4,京基智农,000048-SZE,2024-09-30,CNY,SZE,15.27,8.2164,165721347.11,1.23
26.13,26.2,"Sun, 06 Oct 2024 01:12:57 GMT",21750304,24.6,德赛电池,000049-SZE,2024-09-30,CNY,SZE,24.43,9.5597,553339835.48,2.28
8.09,8.1,"Sun, 06 Oct 2024 01:12:57 GMT",56053521,7.64,深天马Ａ,000050-SZE,2024-09-30,CNY,SZE,7.63,9.7693,442645803.83,0.72
4.02,4.06,"Sun, 06 Oct 2024 01:12:57 GMT",21099460,3.88,方大集团,000055-SZE,2024-09-30,CNY,SZE,3.8,7.4866,83337837.35,0.28
2.32,2.33,"Sun, 06 Oct 2024 01:12:57 GMT",97062404,2.29,皇庭国际,000056-SZE,2024-09-30,CNY,SZE,2.15,8.9202,219767374.86,0.19
7.38,7.42,"Sun, 06 Oct 2024 01:12:57 GMT",53247498,6.99,深 赛 格,000058-SZE,2024-09-30,CNY,SZE,6.86,9.1716,381916408.99,0.62
4.78,4.8,"Sun, 06 Oct 2024 01:12:57 GMT",50987179,4.65,华锦股份,000059-SZE,2024-09-30,CNY,SZE,4.51,8.39,237743648.57,0.37
4.96,5.0,"Sun, 06 Oct 2024 01:12:57 GMT",149267102,4.75,中金岭南,000060-SZE,2024-09-30,CNY,SZE,4.69,8.2969,724940771.15,0.38
6.33,6.38,"Sun, 06 Oct 2024 01:12:57 GMT",24777224,6.05,农 产 品,000061-SZE,2024-09-30,CNY,SZE,5.99,8.0205,153381806.8,0.47
29.39,29.39,"Sun, 06 Oct 2024 01:12:57 GMT",129105763,26.85,深圳华强,000062-SZE,2024-09-30,CNY,SZE,26.83,9.9925,3674831391.41,2.67
31.15,31.38,"Sun, 06 Oct 2024 01:12:57 GMT",286947790,29.58,中兴通讯,000063-SZE,2024-09-30,CNY,SZE,29.02,8.6881,8701519423.66,2.49
10.62,10.71,"Sun, 06 Oct 2024 01:12:57 GMT",38025945,10.2,北方国际,000065-SZE,2024-09-30,CNY,SZE,9.94,8.589,393131715.8,0.84
10.38,10.4,"Sun, 06 Oct 2024 01:12:57 GMT",111123213,9.85,中国长城,000066-SZE,2024-09-30,CNY,SZE,9.77,9.0336,1125948232.85,0.86
3.66,3.69,"Sun, 06 Oct 2024 01:12:57 GMT",75944583,3.48,华控赛格,000068-SZE,2024-09-30,CNY,SZE,3.34,8.6053,268806417.49,0.29
2.92,2.92,"Sun, 06 Oct 2024 01:12:57 GMT",22726310,2.92,华侨城Ａ,000069-SZE,2024-09-30,CNY,SZE,2.92,10.1887,66360825.2,0.27
4.65,4.65,"Sun, 06 Oct 2024 01:12:57 GMT",59181861,4.58,ST特信,000070-SZE,2024-09-30,CNY,SZE,4.46,4.9661,271217230.18,0.22
2.62,2.64,"Sun, 06 Oct 2024 01:12:57 GMT",73779198,2.48,海王生物,000078-SZE,2024-09-30,CNY,SZE,2.45,8.7137,188268033.11,0.21
5.11,5.15,"Sun, 06 Oct 2024 01:12:57 GMT",36316963,4.82,盐 田 港,000088-SZE,2024-09-30,CNY,SZE,4.82,8.2627,181518013.12,0.39
7.09,7.15,"Sun, 06 Oct 2024 01:12:57 GMT",58533111,6.75,深圳机场,000089-SZE,2024-09-30,CNY,SZE,6.68,7.5873,404946864.26,0.5
4.48,4.49,"Sun, 06 Oct 2024 01:12:57 GMT",117401456,4.42,天健集团,000090-SZE,2024-09-30,CNY,SZE,4.2,8.4746,515332578.25,0.35
9.88,9.93,"Sun, 06 Oct 2024 01:12:57 GMT",9646021,9.5,广聚能源,000096-SZE,2024-09-30,CNY,SZE,9.26,7.1584,92306475.49,0.66
18.69,18.88,"Sun, 06 Oct 2024 01:12:57 GMT",121358443,17.91,中信海直,000099-SZE,2024-09-30,CNY,SZE,17.29,8.1597,2205229275.37,1.41
4.58,4.6,"Sun, 06 Oct 2024 01:12:57 GMT",751587688,4.38,TCL科技,000100-SZE,2024-09-30,CNY,SZE,4.3,7.5117,3360447130.53,0.32
12.6,12.8,"Sun, 06 Oct 2024 01:12:57 GMT",37380265,12.14,中成股份,000151-SZE,2024-09-30,CNY,SZE,11.8,6.6892,461054531.04,0.79
6.12,6.18,"Sun, 06 Oct 2024 01:12:57 GMT",24459560,5.81,丰原药业,000153-SZE,2024-09-30,CNY,SZE,5.67,8.3186,145610612.36,0.47
11.75,11.77,"Sun, 06 Oct 2024 01:12:57 GMT",42564415,11.2,川能动力,000155-SZE,2024-09-30,CNY,SZE,10.96,9.8131,486973510.49,1.05
7.47,7.47,"Sun, 06 Oct 2024 01:12:57 GMT",32680156,6.98,华数传媒,000156-SZE,2024-09-30,CNY,SZE,6.98,10.0147,238062737.96,0.68
7.58,7.64,"Sun, 06 Oct 2024 01:12:57 GMT",188181286,7.37,中联重科,000157-SZE,2024-09-30,CNY,SZE,7.1,6.3114,1396412889.68,0.45
13.19,13.19,"Sun, 06 Oct 2024 01:12:57 GMT",378748948,12.25,常山北明,000158-SZE,2024-09-30,CNY,SZE,12.24,10.0083,4893294960.72,1.2
6.93,6.96,"Sun, 06 Oct 2024 01:12:57 GMT",46383529,6.5,国际实业,000159-SZE,2024-09-30,CNY,SZE,6.35,9.4787,310432395.67,0.6
5.72,5.72,"Sun, 06 Oct 2024 01:12:57 GMT",494083452,5.63,申万宏源,000166-SZE,2024-09-30,CNY,SZE,5.35,10.0,2773797737.77,0.52
9.28,9.3,"Sun, 06 Oct 2024 01:12:57 GMT",46548496,8.83,东方盛虹,000301-SZE,2024-09-30,CNY,SZE,8.76,8.538,421990939.58,0.73
76.06,76.9,"Sun, 06 Oct 2024 01:12:57 GMT",125166492,73.16,美的集团,000333-SZE,2024-09-30,CNY,SZE,72.03,4.1918,9344041944.34,3.06
15.87,15.98,"Sun, 06 Oct 2024 01:12:57 GMT",191336684,15.18,潍柴动力,000338-SZE,2024-09-30,CNY,SZE,14.83,8.9973,2961878395.83,1.31
34.19,34.6,"Sun, 06 Oct 2024 01:12:57 GMT",35874346,33.02,许继电气,000400-SZE,2024-09-30,CNY,SZE,32.33,6.0484,1204526927.49,1.95
5.58,5.65,"Sun, 06 Oct 2024 01:12:57 GMT",39685225,5.35,冀东水泥,000401-SZE,2024-09-30,CNY,SZE,5.31,8.3495,217831807.75,0.43
3.5,3.5,"Sun, 06 Oct 2024 01:12:57 GMT",12899893,3.5,金 融 街,000402-SZE,2024-09-30,CNY,SZE,3.5,10.0629,45149625.5,0.32
24.77,25.0,"Sun, 06 Oct 2024 01:12:57 GMT",21465798,24.04,派林生物,000403-SZE,2024-09-30,CNY,SZE,23.6,8.5451,522363565.91,1.95
7.1,7.15,"Sun, 06 Oct 2024 01:12:57 GMT",39330503,6.79,长虹华意,000404-SZE,2024-09-30,CNY,SZE,6.64,7.413,272601672.82,0.49
3.19,3.23,"Sun, 06 Oct 2024 01:12:57 GMT",39107748,3.03,胜利股份,000407-SZE,2024-09-30,CNY,SZE,2.96,7.7703,121033646.84,0.23
28.75,29.28,"Sun, 06 Oct 2024 01:12:57 GMT",27777455,28.0,藏格矿业,000408-SZE,2024-09-30,CNY,SZE,27.34,6.1669,788494796.63,1.67
8.84,8.88,"Sun, 06 Oct 2024 01:12:57 GMT",35755979,8.45,云鼎科技,000409-SZE,2024-09-30,CNY,SZE,8.34,8.867,309570545.27,0.72
7.2,7.29,"Sun, 06 Oct 2024 01:12:57 GMT",57351446,7.1,沈阳机床,000410-SZE,2024-09-30,CNY,SZE,6.83,5.4173,407978457.97,0.37
10.71,10.84,"Sun, 06 Oct 2024 01:12:57 GMT",13247962,10.2,英特集团,000411-SZE,2024-09-30,CNY,SZE,9.97,7.6382,138319468.6,0.76
3.03,3.04,"Sun, 06 Oct 2024 01:12:57 GMT",252166637,2.84,渤海租赁,000415-SZE,2024-09-30,CNY,SZE,2.84,9.7826,748465885.55,0.27
5.0,5.1,"Sun, 06 Oct 2024 01:12:57 GMT",41218586,4.88,合百集团,000417-SZE,2024-09-30,CNY,SZE,4.69,7.7586,201839235.17,0.36
5.38,5.44,"Sun, 06 Oct 2024 01:12:57 GMT",38093668,5.2,通程控股,000419-SZE,2024-09-30,CNY,SZE,5.0,7.6,198722697.44,0.38
3.42,3.47,"Sun, 06 Oct 2024 01:12:57 GMT",101633292,3.28,吉林化纤,000420-SZE,2024-09-30,CNY,SZE,3.26,7.8864,342969238.4,0.25
5.64,5.69,"Sun, 06 Oct 2024 01:12:57 GMT",57840438,5.36,南京公用,000421-SZE,2024-09-30,CNY,SZE,5.16,8.4615,314387121.32,0.44
14.39,14.45,"Sun, 06 Oct 2024 01:12:57 GMT",62030900,13.8,湖北宜化,000422-SZE,2024-09-30,CNY,SZE,13.52,9.1806,870770804.25,1.21
61.7,63.98,"Sun, 06 Oct 2024 01:12:57 GMT",23120149,61.16,东阿阿胶,000423-SZE,2024-09-30,CNY,SZE,59.62,4.3817,1419795102.41,2.59
7.77,7.9,"Sun, 06 Oct 2024 01:12:57 GMT",225333211,7.56,徐工机械,000425-SZE,2024-09-30,CNY,SZE,7.34,4.8583,1722576320.22,0.36
13.33,13.33,"Sun, 06 Oct 2024 01:12:57 GMT",66955018,12.69,兴业银锡,000426-SZE,2024-09-30,CNY,SZE,12.2,9.3519,856145478.26,1.14
3.62,3.63,"Sun, 06 Oct 2024 01:12:57 GMT",66081031,3.41,华天酒店,000428-SZE,2024-09-30,CNY,SZE,3.32,9.0361,230753633.08,0.3
11.38,11.5,"Sun, 06 Oct 2024 01:12:57 GMT",45355609,10.77,粤高速Ａ,000429-SZE,2024-09-30,CNY,SZE,10.74,5.7621,503094039.14,0.62
7.7,7.7,"Sun, 06 Oct 2024 01:12:57 GMT",83917453,7.0,张家界,000430-SZE,2024-09-30,CNY,SZE,6.86,10.0,608384480.1,0.7
4.15,4.17,"Sun, 06 Oct 2024 01:12:57 GMT",70736329,3.91,晨鸣纸业,000488-SZE,2024-09-30,CNY,SZE,3.91,8.6387,286463690.29,0.33
6.1,6.2,"Sun, 06 Oct 2024 01:12:57 GMT",47213697,5.85,山东路桥,000498-SZE,2024-09-30,CNY,SZE,5.75,7.3944,281925486.44,0.42
8.74,8.8,"Sun, 06 Oct 2024 01:12:57 GMT",31330307,8.47,武商集团,000501-SZE,2024-09-30,CNY,SZE,8.22,7.7682,267861982.9,0.63
9.34,9.34,"Sun, 06 Oct 2024 01:12:57 GMT",50663992,8.99,国新健康,000503-SZE,2024-09-30,CNY,SZE,8.71,10.0118,460650989.81,0.85
8.49,8.6,"Sun, 06 Oct 2024 01:12:57 GMT",19609100,8.01,南华生物,000504-SZE,2024-09-30,CNY,SZE,7.93,8.1529,162501759.99,0.64
6.64,6.73,"Sun, 06 Oct 2024 01:12:57 GMT",46731734,6.3,京粮控股,000505-SZE,2024-09-30,CNY,SZE,6.12,7.0968,301897198.55,0.44
1.45,1.45,"Sun, 06 Oct 2024 01:12:57 GMT",130954289,1.4,*ST中润,000506-SZE,2024-09-30,CNY,SZE,1.37,4.3165,185143880.23,0.06
5.12,5.17,"Sun, 06 Oct 2024 01:12:57 GMT",36105740,4.92,珠海港,000507-SZE,2024-09-30,CNY,SZE,4.85,6.8894,181231625.49,0.33
3.26,3.29,"Sun, 06 Oct 2024 01:12:57 GMT",70437513,3.02,华塑控股,000509-SZE,2024-09-30,CNY,SZE,3.0,8.6667,220848042.61,0.26
3.58,3.62,"Sun, 06 Oct 2024 01:12:57 GMT",30231991,3.41,新金路,000510-SZE,2024-09-30,CNY,SZE,3.31,8.1571,104976036.7,0.27
40.65,40.96,"Sun, 06 Oct 2024 01:12:57 GMT",15042841,39.36,丽珠集团,000513-SZE,2024-09-30,CNY,SZE,38.88,5.8043,604101866.98,2.23
4.55,4.55,"Sun, 06 Oct 2024 01:12:57 GMT",95703139,4.39,渝 开 发,000514-SZE,2024-09-30,CNY,SZE,4.14,9.9034,419910568.57,0.41
5.46,5.46,"Sun, 06 Oct 2024 01:12:57 GMT",89944373,5.27,国际医学,000516-SZE,2024-09-30,CNY,SZE,5.11,10.0806,479162970.88,0.5
2.67,2.67,"Sun, 06 Oct 2024 01:12:57 GMT",109779045,2.6,荣安地产,000517-SZE,2024-09-30,CNY,SZE,2.49,9.8765,286274716.5,0.24
2.4,2.42,"Sun, 06 Oct 2024 01:12:57 GMT",72915732,2.26,四环生物,000518-SZE,2024-09-30,CNY,SZE,2.22,8.5973,170058897.39,0.19
14.72,14.74,"Sun, 06 Oct 2024 01:12:57 GMT",82103498,14.3,中兵红箭,000519-SZE,2024-09-30,CNY,SZE,13.8,9.5238,1177703835.88,1.28
2.84,2.85,"Sun, 06 Oct 2024 01:12:57 GMT",69807071,2.74,凤凰航运,000520-SZE,2024-09-30,CNY,SZE,2.63,8.8123,191197128.17,0.23
10.9,11.01,"Sun, 06 Oct 2024 01:12:57 GMT",67144909,10.3,长虹美菱,000521-SZE,2024-09-30,CNY,SZE,10.0,7.9208,701904361.15,0.8
3.21,3.24,"Sun, 06 Oct 2024 01:12:57 GMT",70542930,3.03,红棉股份,000523-SZE,2024-09-30,CNY,SZE,2.93,7.0,219116804.11,0.21
10.27,10.28,"Sun, 06 Oct 2024 01:12:57 GMT",32492178,9.75,岭南控股,000524-SZE,2024-09-30,CNY,SZE,9.42,9.2553,321161822.67,0.87
8.29,8.55,"Sun, 06 Oct 2024 01:12:57 GMT",27179473,8.3,*ST红阳,000525-SZE,2024-09-30,CNY,SZE,8.07,-2.3557,223479763.04,-0.2
63.09,63.49,"Sun, 06 Oct 2024 01:12:57 GMT",4506069,59.51,学大教育,000526-SZE,2024-09-30,CNY,SZE,58.31,6.8417,276597470.41,4.04
12.5,12.57,"Sun, 06 Oct 2024 01:12:57 GMT",66971691,12.12,柳    工,000528-SZE,2024-09-30,CNY,SZE,11.72,6.5644,813677117.57,0.77
6.11,6.15,"Sun, 06 Oct 2024 01:12:57 GMT",22004024,5.8,广弘控股,000529-SZE,2024-09-30,CNY,SZE,5.7,7.7601,130772345.38,0.44
4.4,4.42,"Sun, 06 Oct 2024 01:12:57 GMT",39506021,4.2,冰山冷热,000530-SZE,2024-09-30,CNY,SZE,4.12,8.642,168948555.61,0.35
5.61,5.61,"Sun, 06 Oct 2024 01:12:57 GMT",22001844,5.28,穗恒运Ａ,000531-SZE,2024-09-30,CNY,SZE,5.24,9.7847,119355278.95,0.5
14.06,14.12,"Sun, 06 Oct 2024 01:12:57 GMT",46139841,13.5,华金资本,000532-SZE,2024-09-30,CNY,SZE,12.8,8.5714,626606983.77,1.11
3.81,3.81,"Sun, 06 Oct 2024 01:12:57 GMT",33108356,3.57,顺钠股份,000533-SZE,2024-09-30,CNY,SZE,3.5,9.7983,121632356.8,0.34
11.28,11.35,"Sun, 06 Oct 2024 01:12:57 GMT",10540900,10.72,万泽股份,000534-SZE,2024-09-30,CNY,SZE,10.54,8.6705,116113836.1,0.9
3.32,3.32,"Sun, 06 Oct 2024 01:12:57 GMT",332211681,3.11,华映科技,000536-SZE,2024-09-30,CNY,SZE,3.05,9.9338,1073475570.08,0.3
9.88,9.95,"Sun, 06 Oct 2024 01:12:57 GMT",26395143,9.25,中绿电,000537-SZE,2024-09-30,CNY,SZE,9.25,8.8106,254784920.19,0.8
61.0,61.68,"Sun, 06 Oct 2024 01:12:57 GMT",37460894,57.77,云南白药,000538-SZE,2024-09-30,CNY,SZE,57.76,8.022,2237043712.87,4.53
5.05,5.1,"Sun, 06 Oct 2024 01:12:57 GMT",74099879,4.82,粤电力Ａ,000539-SZE,2024-09-30,CNY,SZE,4.76,7.2187,366417622.71,0.34
5.49,5.55,"Sun, 06 Oct 2024 01:12:57 GMT",41138918,5.3,佛山照明,000541-SZE,2024-09-30,CNY,SZE,5.2,7.6471,221581473.24,0.39
8.32,8.42,"Sun, 06 Oct 2024 01:12:57 GMT",126016578,7.93,皖能电力,000543-SZE,2024-09-30,CNY,SZE,7.8,7.2165,1018251560.5,0.56
8.42,8.48,"Sun, 06 Oct 2024 01:12:57 GMT",19427168,8.05,中原环保,000544-SZE,2024-09-30,CNY,SZE,7.96,7.6726,159415612.3,0.6
2.34,2.34,"Sun, 06 Oct 2024 01:12:57 GMT",59159963,2.2,金浦钛业,000545-SZE,2024-09-30,CNY,SZE,2.18,9.8592,134533489.48,0.21
5.95,6.02,"Sun, 06 Oct 2024 01:12:57 GMT",91860600,5.65,金圆股份,000546-SZE,2024-09-30,CNY,SZE,5.39,8.3789,527736300.6,0.46
7.81,7.82,"Sun, 06 Oct 2024 01:12:57 GMT",84623134,7.41,航天发展,000547-SZE,2024-09-30,CNY,SZE,7.23,9.8453,644122541.66,0.7
5.2,5.28,"Sun, 06 Oct 2024 01:12:57 GMT",53036101,5.17,湖南投资,000548-SZE,2024-09-30,CNY,SZE,4.88,6.9959,270025759.43,0.34
28.02,28.02,"Sun, 06 Oct 2024 01:12:57 GMT",31853617,26.61,江铃汽车,000550-SZE,2024-09-30,CNY,SZE,26.53,10.0118,878764999.44,2.55
10.44,10.44,"Sun, 06 Oct 2024 01:12:57 GMT",20555954,9.71,创元科技,000551-SZE,2024-09-30,CNY,SZE,9.6,10.0105,207884328.6,0.95
3.0,3.02,"Sun, 06 Oct 2024 01:12:57 GMT",187394965,2.9,甘肃能化,000552-SZE,2024-09-30,CNY,SZE,2.84,8.3032,552326500.44,0.23
5.62,5.69,"Sun, 06 Oct 2024 01:12:57 GMT",18083081,5.49,安道麦A,000553-SZE,2024-09-30,CNY,SZE,5.3,7.0476,99944926.83,0.37
5.9,5.9,"Sun, 06 Oct 2024 01:12:57 GMT",44166956,5.4,泰山石油,000554-SZE,2024-09-30,CNY,SZE,5.4,9.8696,250494785.61,0.53
11.33,11.33,"Sun, 06 Oct 2024 01:12:57 GMT",78088758,10.94,神州信息,000555-SZE,2024-09-30,CNY,SZE,10.62,10.0,863529409.22,1.03
4.78,4.84,"Sun, 06 Oct 2024 01:12:57 GMT",38523912,4.75,西部创业,000557-SZE,2024-09-30,CNY,SZE,4.5,8.39,180686721.65,0.37
2.82,2.83,"Sun, 06 Oct 2024 01:12:57 GMT",69499540,2.68,莱茵体育,000558-SZE,2024-09-30,CNY,SZE,2.62,8.4615,190035209.82,0.22
5.6,5.64,"Sun, 06 Oct 2024 01:12:57 GMT",59135123,5.3,万向钱潮,000559-SZE,2024-09-30,CNY,SZE,5.3,7.6923,324303178.28,0.4
3.74,3.74,"Sun, 06 Oct 2024 01:12:57 GMT",426674257,3.74,我爱我家,000560-SZE,2024-09-30,CNY,SZE,3.52,10.0,1580351629.58,0.34
7.95,8.03,"Sun, 06 Oct 2024 01:12:57 GMT",51365262,7.6,烽火电子,000561-SZE,2024-09-30,CNY,SZE,7.3,7.4324,396825377.5,0.55
3.74,3.74,"Sun, 06 Oct 2024 01:12:57 GMT",470995571,3.59,陕国投Ａ,000563-SZE,2024-09-30,CNY,SZE,3.43,10.0,1691300099.9,0.34
2.14,2.14,"Sun, 06 Oct 2024 01:12:57 GMT",469746902,2.06,供销大集,000564-SZE,2024-09-30,CNY,SZE,2.0,8.0808,981432739.36,0.16
5.04,5.07,"Sun, 06 Oct 2024 01:12:57 GMT",16556132,4.8,渝三峡Ａ,000565-SZE,2024-09-30,CNY,SZE,4.65,8.3871,80411411.14,0.39
4.32,4.32,"Sun, 06 Oct 2024 01:12:57 GMT",167533833,3.97,海南海药,000566-SZE,2024-09-30,CNY,SZE,3.96,9.9237,693485050.13,0.39
6.92,6.92,"Sun, 06 Oct 2024 01:12:57 GMT",77368828,6.74,海德股份,000567-SZE,2024-09-30,CNY,SZE,6.31,10.0159,520164056.65,0.63
149.7,149.7,"Sun, 06 Oct 2024 01:12:57 GMT",31658417,149.7,泸州老窖,000568-SZE,2024-09-30,CNY,SZE,145.0,10.0007,4721294735.93,13.61
5.18,5.23,"Sun, 06 Oct 2024 01:12:57 GMT",38263061,4.96,苏常柴Ａ,000570-SZE,2024-09-30,CNY,SZE,4.83,7.4689,193031576.76,0.36
3.71,3.71,"Sun, 06 Oct 2024 01:12:57 GMT",48176955,3.45,新大洲A,000571-SZE,2024-09-30,CNY,SZE,3.39,10.089,172934920.24,0.34
3.71,3.75,"Sun, 06 Oct 2024 01:12:57 GMT",98651147,3.53,海马汽车,000572-SZE,2024-09-30,CNY,SZE,3.47,7.8488,357684333.83,0.27
2.8,2.82,"Sun, 06 Oct 2024 01:12:57 GMT",39818373,2.76,粤宏远Ａ,000573-SZE,2024-09-30,CNY,SZE,2.6,7.6923,108748434.45,0.2
6.86,6.89,"Sun, 06 Oct 2024 01:12:57 GMT",11313800,6.42,甘化科工,000576-SZE,2024-09-30,CNY,SZE,6.36,9.5847,75547780.0,0.6
19.17,19.38,"Sun, 06 Oct 2024 01:12:57 GMT",27857049,18.35,威孚高科,000581-SZE,2024-09-30,CNY,SZE,18.33,7.0352,525121925.56,1.26
8.22,8.31,"Sun, 06 Oct 2024 01:12:57 GMT",36554942,7.88,北部湾港,000582-SZE,2024-09-30,CNY,SZE,7.76,7.3107,294012462.57,0.56
2.1,2.16,"Sun, 06 Oct 2024 01:12:57 GMT",56201020,2.02,*ST工智,000584-SZE,2024-09-30,CNY,SZE,1.97,1.4493,114588553.86,0.03
8.84,8.89,"Sun, 06 Oct 2024 01:12:57 GMT",14778704,8.3,汇源通信,000586-SZE,2024-09-30,CNY,SZE,8.16,8.7331,126367626.56,0.71
5.45,5.46,"Sun, 06 Oct 2024 01:12:57 GMT",122798539,5.18,贵州轮胎,000589-SZE,2024-09-30,CNY,SZE,5.09,9.0,649425783.29,0.45
6.5,6.57,"Sun, 06 Oct 2024 01:12:57 GMT",15459924,6.3,启迪药业,000590-SZE,2024-09-30,CNY,SZE,5.94,7.6159,97767462.13,0.46
5.12,5.16,"Sun, 06 Oct 2024 01:12:57 GMT",151126799,4.91,太阳能,000591-SZE,2024-09-30,CNY,SZE,4.86,8.9362,759736382.36,0.42
