Closing_price,Highest_price,Last_Modified,Number_of_transactions,Opening_price,Securities_abbreviation,Securities_code,Transaction_date,currency,market,minimum_price,price_limit,trading_volume,ups_downs
23.19,23.59,"Sun, 06 Oct 2024 01:12:57 GMT",1961130,21.02,江苏博云,301003-SZE,2024-09-30,CNY,SZE,20.73,13.3431,43275324.0,2.73
104.58,105.0,"Sun, 06 Oct 2024 01:12:57 GMT",2037270,89.42,嘉益股份,301004-SZE,2024-09-30,CNY,SZE,89.06,17.5056,196848185.32,15.58
28.44,28.98,"Sun, 06 Oct 2024 01:12:57 GMT",9042371,25.61,超捷股份,301005-SZE,2024-09-30,CNY,SZE,25.19,13.6691,243805829.08,3.42
16.09,16.38,"Sun, 06 Oct 2024 01:12:57 GMT",10668020,14.38,迈拓股份,301006-SZE,2024-09-30,CNY,SZE,13.76,16.9331,158727609.1,2.33
15.03,15.29,"Sun, 06 Oct 2024 01:12:57 GMT",25899101,13.96,德迈仕,301007-SZE,2024-09-30,CNY,SZE,13.31,16.0618,367200874.87,2.08
18.24,18.63,"Sun, 06 Oct 2024 01:12:57 GMT",4775976,17.13,宏昌科技,301008-SZE,2024-09-30,CNY,SZE,16.36,12.2462,83973805.72,1.99
9.19,9.37,"Sun, 06 Oct 2024 01:12:57 GMT",9677600,8.44,可靠股份,301009-SZE,2024-09-30,CNY,SZE,8.25,12.7607,85276358.0,1.04
13.87,14.27,"Sun, 06 Oct 2024 01:12:57 GMT",5579277,12.9,晶雪节能,301010-SZE,2024-09-30,CNY,SZE,12.45,12.4899,74120448.29,1.54
19.65,19.99,"Sun, 06 Oct 2024 01:12:57 GMT",10737842,17.21,华立科技,301011-SZE,2024-09-30,CNY,SZE,16.83,17.9472,198824047.73,2.99
24.55,24.87,"Sun, 06 Oct 2024 01:12:57 GMT",16164065,22.41,扬电科技,301012-SZE,2024-09-30,CNY,SZE,21.71,14.666,375635212.24,3.14
12.58,12.69,"Sun, 06 Oct 2024 01:12:57 GMT",28493726,11.31,利和兴,301013-SZE,2024-09-30,CNY,SZE,11.11,15.7314,340029498.63,1.71
29.92,29.99,"Sun, 06 Oct 2024 01:12:57 GMT",8292087,28.1,百洋医药,301015-SZE,2024-09-30,CNY,SZE,27.13,14.1985,237865264.97,3.72
22.93,22.97,"Sun, 06 Oct 2024 01:12:57 GMT",13367913,20.6,雷尔伟,301016-SZE,2024-09-30,CNY,SZE,19.78,17.5295,286670815.31,3.42
12.45,12.57,"Sun, 06 Oct 2024 01:12:57 GMT",17310375,11.45,漱玉平民,301017-SZE,2024-09-30,CNY,SZE,11.13,14.5354,205513137.25,1.58
24.07,24.38,"Sun, 06 Oct 2024 01:12:57 GMT",11088788,22.7,申菱环境,301018-SZE,2024-09-30,CNY,SZE,21.7,16.0,255641812.18,3.32
15.35,15.54,"Sun, 06 Oct 2024 01:12:57 GMT",3468425,14.04,宁波色母,301019-SZE,2024-09-30,CNY,SZE,14.0,11.799,51713214.09,1.62
20.35,20.79,"Sun, 06 Oct 2024 01:12:57 GMT",7180279,18.55,密封科技,301020-SZE,2024-09-30,CNY,SZE,18.02,13.9418,137717504.19,2.49
21.96,22.23,"Sun, 06 Oct 2024 01:12:57 GMT",12436741,19.8,英诺激光,301021-SZE,2024-09-30,CNY,SZE,19.23,15.8839,256524248.25,3.01
22.01,22.53,"Sun, 06 Oct 2024 01:12:57 GMT",5123430,20.14,海泰科,301022-SZE,2024-09-30,CNY,SZE,19.8,14.2783,107837092.14,2.75
42.07,42.8,"Sun, 06 Oct 2024 01:12:57 GMT",3344039,37.6,江南奕帆,301023-SZE,2024-09-30,CNY,SZE,36.87,14.1036,132120772.73,5.2
24.88,24.88,"Sun, 06 Oct 2024 01:12:57 GMT",4581229,21.7,霍普股份,301024-SZE,2024-09-30,CNY,SZE,20.93,20.0193,107732110.62,4.15
10.56,10.72,"Sun, 06 Oct 2024 01:12:57 GMT",19721600,9.69,读客文化,301025-SZE,2024-09-30,CNY,SZE,9.29,13.9159,198861134.0,1.29
30.82,31.2,"Sun, 06 Oct 2024 01:12:57 GMT",5008660,28.21,浩通科技,301026-SZE,2024-09-30,CNY,SZE,27.44,13.7269,147139987.6,3.72
9.82,9.85,"Sun, 06 Oct 2024 01:12:57 GMT",22044300,8.98,华蓝集团,301027-SZE,2024-09-30,CNY,SZE,8.6,14.319,203157226.27,1.23
10.69,10.75,"Sun, 06 Oct 2024 01:12:57 GMT",12416080,9.76,东亚机械,301028-SZE,2024-09-30,CNY,SZE,9.47,13.1217,125869642.2,1.24
25.29,25.3,"Sun, 06 Oct 2024 01:12:57 GMT",18853890,22.58,怡合达,301029-SZE,2024-09-30,CNY,SZE,22.02,19.9147,446003385.14,4.2
28.99,29.39,"Sun, 06 Oct 2024 01:12:57 GMT",19259242,26.9,仕净科技,301030-SZE,2024-09-30,CNY,SZE,25.72,14.721,531996216.08,3.72
96.66,99.0,"Sun, 06 Oct 2024 01:12:57 GMT",1507136,87.5,中熔电气,301031-SZE,2024-09-30,CNY,SZE,87.5,14.2418,140076944.59,12.05
8.05,8.19,"Sun, 06 Oct 2024 01:12:57 GMT",11356602,7.41,新柴股份,301032-SZE,2024-09-30,CNY,SZE,7.25,12.4302,87394129.38,0.89
47.77,48.46,"Sun, 06 Oct 2024 01:12:57 GMT",1634209,44.21,迈普医学,301033-SZE,2024-09-30,CNY,SZE,42.6,12.4265,74861805.29,5.28
53.14,54.51,"Sun, 06 Oct 2024 01:12:57 GMT",4148962,47.5,润丰股份,301035-SZE,2024-09-30,CNY,SZE,47.5,13.0638,210950228.89,6.14
39.83,39.83,"Sun, 06 Oct 2024 01:12:57 GMT",17611100,34.7,双乐股份,301036-SZE,2024-09-30,CNY,SZE,33.5,20.006,654948154.0,6.64
10.68,10.73,"Sun, 06 Oct 2024 01:12:57 GMT",5492897,9.98,保立佳,301037-SZE,2024-09-30,CNY,SZE,9.44,13.617,55837832.34,1.28
17.42,17.82,"Sun, 06 Oct 2024 01:12:57 GMT",10090345,16.2,深水规院,301038-SZE,2024-09-30,CNY,SZE,15.68,12.4597,168123224.15,1.93
11.15,11.28,"Sun, 06 Oct 2024 01:12:57 GMT",46145274,10.3,中集车辆,301039-SZE,2024-09-30,CNY,SZE,10.11,11.8355,491563235.26,1.18
13.07,13.29,"Sun, 06 Oct 2024 01:12:57 GMT",7855500,12.0,中环海陆,301040-SZE,2024-09-30,CNY,SZE,11.61,13.6522,97701749.14,1.57
25.4,25.57,"Sun, 06 Oct 2024 01:12:57 GMT",9927888,23.05,金百泽,301041-SZE,2024-09-30,CNY,SZE,22.41,15.1927,238902021.52,3.35
35.5,36.1,"Sun, 06 Oct 2024 01:12:57 GMT",3393264,32.38,安联锐视,301042-SZE,2024-09-30,CNY,SZE,31.9,12.5198,115247564.72,3.95
27.38,28.07,"Sun, 06 Oct 2024 01:12:57 GMT",1933389,25.42,绿岛风,301043-SZE,2024-09-30,CNY,SZE,25.05,10.94,50791816.36,2.7
20.13,20.32,"Sun, 06 Oct 2024 01:12:57 GMT",6947101,18.09,天禄科技,301045-SZE,2024-09-30,CNY,SZE,17.76,14.7009,133330986.68,2.58
22.0,22.15,"Sun, 06 Oct 2024 01:12:57 GMT",6913351,20.0,能辉科技,301046-SZE,2024-09-30,CNY,SZE,19.51,14.4641,144399392.89,2.78
73.19,74.0,"Sun, 06 Oct 2024 01:12:57 GMT",2774176,67.22,义翘神州,301047-SZE,2024-09-30,CNY,SZE,66.12,14.3236,194835493.0,9.17
9.91,10.04,"Sun, 06 Oct 2024 01:12:57 GMT",20043833,9.09,金鹰重工,301048-SZE,2024-09-30,CNY,SZE,8.82,13.1279,189490662.82,1.15
26.45,26.6,"Sun, 06 Oct 2024 01:12:57 GMT",9391421,23.5,超越科技,301049-SZE,2024-09-30,CNY,SZE,22.88,16.7255,230268664.61,3.79
41.3,41.48,"Sun, 06 Oct 2024 01:12:57 GMT",20118019,36.28,雷电微力,301050-SZE,2024-09-30,CNY,SZE,36.28,18.1012,782617794.13,6.33
30.44,30.8,"Sun, 06 Oct 2024 01:12:57 GMT",6618229,27.17,信濠光电,301051-SZE,2024-09-30,CNY,SZE,27.17,14.0502,191854799.81,3.75
30.37,30.63,"Sun, 06 Oct 2024 01:12:57 GMT",16021181,26.69,果麦文化,301052-SZE,2024-09-30,CNY,SZE,26.1,18.4016,450363795.79,4.72
22.55,22.98,"Sun, 06 Oct 2024 01:12:57 GMT",5795371,20.25,远信工业,301053-SZE,2024-09-30,CNY,SZE,19.73,12.75,122998629.39,2.55
13.33,13.45,"Sun, 06 Oct 2024 01:12:57 GMT",9046547,12.2,张小泉,301055-SZE,2024-09-30,CNY,SZE,11.7,12.9661,114583561.59,1.53
7.87,7.99,"Sun, 06 Oct 2024 01:12:57 GMT",10597700,7.08,森赫股份,301056-SZE,2024-09-30,CNY,SZE,7.08,13.8929,78907720.0,0.96
14.2,14.62,"Sun, 06 Oct 2024 01:12:57 GMT",9910851,12.83,汇隆新材,301057-SZE,2024-09-30,CNY,SZE,12.65,12.253,133814622.38,1.55
10.69,10.9,"Sun, 06 Oct 2024 01:12:57 GMT",35113089,9.76,中粮科工,301058-SZE,2024-09-30,CNY,SZE,9.42,13.9659,355665507.45,1.31
9.99,10.17,"Sun, 06 Oct 2024 01:12:57 GMT",7781035,9.21,金三江,301059-SZE,2024-09-30,CNY,SZE,9.01,12.2472,74591052.73,1.09
11.09,11.2,"Sun, 06 Oct 2024 01:12:57 GMT",23008357,10.03,兰卫医学,301060-SZE,2024-09-30,CNY,SZE,9.77,15.5208,241559583.46,1.49
57.21,57.21,"Sun, 06 Oct 2024 01:12:57 GMT",3549435,51.78,匠心家居,301061-SZE,2024-09-30,CNY,SZE,49.67,14.1916,189251379.98,7.11
12.88,12.89,"Sun, 06 Oct 2024 01:12:57 GMT",24368707,11.6,上海艾录,301062-SZE,2024-09-30,CNY,SZE,10.93,18.3824,288938012.43,2.0
16.8,17.21,"Sun, 06 Oct 2024 01:12:57 GMT",7359326,15.52,海锅股份,301063-SZE,2024-09-30,CNY,SZE,15.22,12.5251,118484775.48,1.87
21.45,22.05,"Sun, 06 Oct 2024 01:12:57 GMT",4754280,19.61,本立科技,301065-SZE,2024-09-30,CNY,SZE,19.17,12.3625,98176560.9,2.36
10.22,10.3,"Sun, 06 Oct 2024 01:12:57 GMT",14928098,9.35,万事利,301066-SZE,2024-09-30,CNY,SZE,9.19,13.0531,145754891.93,1.18
25.13,25.75,"Sun, 06 Oct 2024 01:12:57 GMT",9136996,22.84,显盈科技,301067-SZE,2024-09-30,CNY,SZE,22.4,13.1982,219085365.58,2.93
23.37,23.58,"Sun, 06 Oct 2024 01:12:57 GMT",1615271,21.5,大地海洋,301068-SZE,2024-09-30,CNY,SZE,21.06,13.8334,36072842.58,2.84
15.17,15.28,"Sun, 06 Oct 2024 01:12:57 GMT",13801400,13.65,凯盛新材,301069-SZE,2024-09-30,CNY,SZE,13.56,15.2736,198801095.82,2.01
52.22,52.22,"Sun, 06 Oct 2024 01:12:57 GMT",3726639,45.07,开勒股份,301070-SZE,2024-09-30,CNY,SZE,45.07,19.9908,187123216.9,8.7
29.9,30.17,"Sun, 06 Oct 2024 01:12:57 GMT",11566180,27.0,力量钻石,301071-SZE,2024-09-30,CNY,SZE,26.8,15.266,329524813.1,3.96
22.3,22.36,"Sun, 06 Oct 2024 01:12:57 GMT",6811671,19.5,中捷精工,301072-SZE,2024-09-30,CNY,SZE,19.01,19.6994,143163663.16,3.67
